change_type	namespace	guid	row	old_source_hash	new_source_hash	old_text	new_text	old_zh_text	new_zh_text	old_status	new_status	old_model	new_model	source	reason
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	099109FE4A1165FC22882EBEE4E9E86B		0xDE288320	0x90B354C4	World Level 7	Wave Level 7 and perfect clear Floating Life V			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	0E1D907D44DEF666491BF6814A090291		0xAF9A6066	0x0AB61DFE	World Level 7	Wave Level 7 and perfect clear Transcendent I			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	184B698D4A8356349B38D79049294B70		0x69F569E1	0x77BE5274	Wave Flow Level 7 and perfect clear of Floor 8	Wave Level 7 and perfect clear Transcendent III			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	2E8215364C8BFA68CEF8C99D1C8C3DD6		0x300C40A7	0xD480D66D	Wave Flow Level 7 and perfect clear of Floor 11	Wave Level 7 and perfect clear Transcendent VI			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	850D3DF740634684DAC983B1647CBFFD		0x96DC0656	0x38946B0D	Wave Flow Level 7 and perfect clear of Floor 10	Wave Level 7 and perfect clear Transcendent V			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	89D0164A4C09A9C25D3728815F1AF553		0x45CE1D87	0x858031B4	World Level 6	Wave Level 6 and clear Floating Life I			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	8C5366DD4C40249AA96923AADA38F7C9		0xBBC1DF3C	0xE9D6D1AE	Wave Flow Level 7 and perfect clear of Floor 9	Wave Level 7 and perfect clear Transcendent IV			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	A568C07744CB36980AEA67A111464215		0xAB5B0306	0x6DF8AAAB	Wave Flow Level 7 and clear of Floor 3	Wave Level 7 and clear Floating Life III			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	B85BFB3547F320E6B74C8CA5F79E5D53		0xFB6D3EC8	0xAD39147D	World Level 7	Wave Level 7 and perfect clear Transcendent II			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	E0917A144DA454ECB45A45860D0D7BCC		0x7AA481C8	0x41F1EE67	World Level 7	Wave Level 7 and perfect clear Floating Life IV			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Plateau	E254C37F4370C99BF5A554B7CF3103D1		0xAF518505	0x4594101D	World Level 6	Reach Yuan Flow Level 53 and clear Floating Life II			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Season	3A7043864CB80AAA9E8B3D8C623B1C1A		0x39CC2011	0x82357B05	Accumulate 10 wins in Arena	Win 10 matches in Competitive Peak, Ranked, or Matchmaking modes			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Season	47678F514A551BEF6BD022BB5983D356		0x9D17B0EA	0x26EEEBFE	Accumulate 35 wins in Arena	Win 35 matches in Competitive Peak, Ranked, or Matchmaking modes			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_Season	A5E40D184CBDE934C1416389F253A6DF		0x4D54C99E	0xF6AD928A	Accumulate 60 wins in Arena	Win 60 matches in Competitive Peak, Ranked, or Matchmaking modes			translated	translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	2758E0384AA29DC5253FD5BB3271E06C			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	310E97EF4155F07049AF60B567A578D0			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	40BEAC864CAF7110F3DF86B152865111			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	4C60E1BA4B815E4E36B3A9ACE83A9E46			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	A19940EA4B11504F67E80D82C9A9A37A			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	ABE9C5304D491D3E082DC2A381600279			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	ACDDDB78407F3002DA0A998A3F571E52			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	C5754A6D4A539041AAE1BDB11B3EF936			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	C98078A94EBCFF680F65ABA345958812			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	C993893D4651CDB29CAE4D8381DB2C30			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	CCEA010448BEDE56AFA2BEBF957042E5			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	D4FDE6C547EE44AF6898FFB33AAC89D6			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonConditionGroup_SystemUnlock	F67F1F5A495B33892B8671A05752C194			0x57A26460		Complete the breakthrough quest to start the trial				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	059CEB494E96A66F428C40849237B03C		0x72AE519E	0x4AA85E48	Perfectly clear Floor 9.	Perfectly clear Transcendence IV			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	12B7705745FDDCD2D12E36BDAF0893C2		0xE9AB444F	0xE28F6181	Perfectly clear Floor 4.	Perfectly clear Floating Life IV			translated	translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	19ECE55D491218BDA2FC21BAAB0A951B			0xB98C4009		Clear Floating Life III				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	1C61D1BC434361454C41419E1C7ABCC7			0x630B0600		Clear Floating Life II				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	1D19591F4A22EE7B33F0EB9A2534DA44		0x672443AC	0x0E479B9B	Perfectly clear Floor 7.	Perfectly clear Transcendence II			translated	translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	2F7D00E449B00E2FB2BB3695F02B0284			0xC4840F83		Clear Floating Life I				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	7AD9F7954E443A5F3D4BD4AA63BCC7D4		0xBE045100	0xD4C0DD92	Perfectly clear Floor 8.	Perfectly clear Transcendence III			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	7C2612AD45ED233FA23CBA89208A8BC0		0x250144D1	0x33CDDB22	Perfectly clear Floor 5.	Perfectly clear Floating Life V			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	8AD7C451462D7D93BA14A38F2EF9BAD9		0xAB8E4332	0xA9C89218	Perfectly clear Floor 6.	Perfectly clear Transcendence I			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	94FFDB8B48B75D92DDBCDB8D076DF47B		0xE36E4D56	0x7CE7E25B	Perfectly clear Floor 3.	Perfectly clear Floating Life III			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	AC0C609E4629BFBC3BAD2CB28E47BEBB		0xC79DA8C9	0x9BEAE4EB	Perfectly clear Floor 10.	Perfectly clear Transcendence V			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_Plateau	C067E7EC479AA544BC51678CCCE38ECE		0x0B37A857	0x77FE598B	Perfectly clear Floor 11.	Perfectly clear Transcendence VI			translated	translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_System	01D145EC4E3E8446DE9E1CA48760DBA0			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_System	17E80CCD43F2840C75128E872C3EB952			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_System	31E52B2A46BEE6B261234E846E108E9B			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_System	689AFE6F4CD03EEAAFCD858CF76AD4B9			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_System	6BB8A82746DB63C7F391C59A84195419			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonCondition/DT_CommonCondition_System	EA185D2648020DA6B9FFB0859A883825			0x57A26460		Complete the breakthrough quest to start the trial				translated				
added_only	/Game/Data/DataTables/CommonTime/DT_CommonTimeTable	A1BE4BC443413AEBB0F17C8A2E268DB8			0xBE3B2461		[Official][S1] 1.1 Set: Celadon Rain Availability (6.25 - Permanent)				translated				
text_rewritten_same_source_hash	/Game/Data/DataTables/Equip/DT_EquipEnchant	07F1C78C437A333F7F89E9A8F9DA92F7		0x950EF529	0x950EF529	Deathblow	Deftness			translated	translated				
text_rewritten_same_source_hash	/Game/Data/DataTables/Equip/DT_EquipEnchant	850A99AF4FE3D3005F0E1D84D5EFB4F8		0x4827D0AA	0x4827D0AA	Honor	Nurture			translated	translated				
text_rewritten_same_source_hash	/Game/Data/DataTables/Equip/DT_EquipEnchant	AC0833A84FF1C288D9B850A1ECE06C8F		0x4827D0AA	0x4827D0AA	Judgment	Nurture			translated	translated				
text_rewritten_same_source_hash	/Game/Data/DataTables/Equip/DT_EquipEnchant	F7795C5A4C5B5B21466652B1A66B7695		0x950EF529	0x950EF529	Verdure	Deftness			translated	translated				
added_only	/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	26FB18A6468C1EBC2D582C8E72BE754D			0xF191334E		Its roar is like thunder, its movement like a storm. The Thunder-Bull, which once galloped across the vast plains, harbors lightning within its massive horns.				translated				
added_only	/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	48B8E27841E286942697208A7C6CAF60			0xF191334E		Its roar is like thunder, its movement like a storm. The Thunder-Bull, which once galloped across the vast plains, harbors lightning within its massive horns.				translated				
added_only	/Game/Data/DataTables/Ethnography/DT_Ethnography_BigWorldMonster	A7B9E11246FB4FA87E8C7D99E2C39A42			0xB3755A33		Han Thunder Horn				translated				
added_only	/Game/Data/DataTables/Inputs/Context/Gamepad/Gameplay/DT_SettingDisplayInputItems_Gamepad	3BF6ED2645E71E89C4752BA2CDC40235			0x93985AA4		Switch Social Status				translated				
added_only	/Game/Data/DataTables/Inputs/Context/Gamepad/Gameplay/DT_SettingDisplayInputItems_Gamepad	BAAA9CAB4289829B412C80B102B655DA			0x7A6F8053		Used to switch social modes in non-hub areas. In Immersive Mode, other players are hidden; in Social Mode, other players are visible.				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/LocalText/DT_LocalizeText_Battle	6E9F0EA04AA9533A23A378AFBA6B674B		0x851B1D59	0x802DAB27	Focus fire on the Lava Pillars! Raise your body temperature!	Lure the Azure Divine Beast and teammates to focus fire on the Lava Pillar! Raise your body temperature!			translated	translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Battle	C246F06F4AECD750193FD29DA39BEDB3			0x0F12514D		Scarlet Divine Beast threat reset!!!				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Battle	C9042C6B4D25906E2A6D45AF9F008DDB			0x79671278		Azure Divine Beast threat reset!!!				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/LocalText/DT_LocalizeText_Battle	FD0716244D8884F588C7E7AAC39678DF		0xA4872174	0x032CA9A9	Focus fire on the Ice Crystal Pillars! Lower your body temperature!	Lure the Scarlet Divine Beast and teammates to focus fire on the Ice Crystal Pillar! Lower your body temperature!			translated	translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Map	3920499D4C541D1D830F379DC2BD903C			0x0B6E2E48		Exit this area?				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	01A2D1F14D1C7007675CA98BCB7F8061			0xB3544A5B		Weekly Secret Curse				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	3753AFAE44E6B26EB807FB865DB28B6C			0x8D4406D5		Weekly Secret Curse Updated				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	3B016A0A4B586CB639F69E9DD5349678			0x0E2BECC6		Interact with objects in the scene to start the challenge				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	52A7341E459BFF933F31C3B7C8298F60			0x9E588452		"Waiting for teammates to load <span color=""#ffe398ff"">({0}s)</>..."				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	7D3097B547CC2E3CFC7977BF1478B7F2			0xBD777089		Teammates Loaded ({0}/{1})				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	8B067CC44ED349F67F1C9BA32347EE4E			0xA30B34B9		This week's Secret Curse will take effect in all weekly gameplay modes.				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	8E01E0274B914E673203EA886E70EDAE			0xF6ABB302		Today's Stage				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	92A862A540A2C0E3285899A1950D9AC4			0x35CD3273		Today				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	98920EE84797B4BDA7E644AA67052F7C			0x492012DB		Reach a Perfect rating to unlock this floor's weekly chest reward!				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	D46D6F384AEDD0E23FD19D80CDECF24A			0x321D7E23		Interact with objects in the scene to start the challenge or continue waiting				translated				
added_only	/Game/Data/DataTables/LocalText/DT_LocalizeText_Plateau	DAA81A0F43C4B305945E53AF417068B9			0x10CD839B		This Week				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/LocalText/DT_LocalizeText_PlayPointGuideInfo	E857757A4FD2E8C866CD83AA652B6430		0x10D4DDB2	0x28C3F787	"<span color=""#ffe398"">Dreamwalk Odyssey</>
Dreamwalk Odyssey has 3 levels. To unlock the next level, clear the previous one and meet the World Level requirement.

<span color=""#ffe398"">Random Challenges</><span color=""#ffe398""></>
Each run features one challenge from Three-school Showdown, Starlight Exploration, Festive Fire Opera, and Saepes Shadows. It changes when you complete it or automatically at 4:00 AM daily.

<span color=""#ffe398"">Free Chest</>
The first chest you open each day in Dreamwalk Odyssey doesn't consume Vitality. This free chest resets at 4:00 AM daily."	"<span color=""#ffe398"">Dreamland Chronicles</>
     Dreamland Chronicles consists of 12 floors. To unlock floors 1-4 of Floating Life, you must reach the corresponding Yuan Flow level and Wave Flow Realm, and clear the previous floor. For Floating Life 5 and Transcendence 1-6, you must reach Wave Flow Realm 7 and achieve a Perfect rating on the previous floor.

<span color=""#ffe398"">Random Rules</>
     Weekly Secret Spells reset every Monday. The difficulty of these spells varies based on the challenge difficulty. The dungeon and its corresponding Secret Spell are randomized daily.
 
<span color=""#ffe398"">Random Range</>
     Three Academies Clash, Stargazing Anomalies, Festive Fire Dance, Woodland Shadows.

<span color=""#ffe398"">Stamina-Free Rules</>
     You get one free challenge attempt for Dreamland Chronicles daily. If successful, opening the reward chest will not consume Flowing Dew. This count refreshes at 4:00 AM daily.

<span color=""#ffe398"">Daily Reward Rules</>
     Complete any Dreamland level (any rating) to receive full daily rewards. Daily rewards for Transcendence 1-6 are identical.

<span color=""#ffe398"">Weekly Reward Rules</>
     Weekly rewards are settled at 4:00 AM every Monday based on the highest floor cleared with a Perfect rating during the previous week."			translated	translated				
added_only	/Game/Data/DataTables/Mall/MallDisplay/DT_MallDisplayPartRecommendUI	5E5E62284CC80DD33673F0A6DE2C7017			0xBF687301		Recommendation Page - Celadon Rain Outfit - Poster				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/Map/DT_MapIBWMonsterInfo	8F2FA47D4AC73F01EB222E9B1634068F		0x036D160D	0xF191334E	Thunder rumbles in the wilderness; the giant horns rise high, summoning the lightning.	Its roar is like thunder, its movement like a storm. The Thunder-Bull, which once galloped across the vast plains, harbors lightning within its massive horns.			translated	translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	010439BB4F4EEEE3AAD472B914E88287			0x11996521		When in bear or human form, it summons Nightmare Butterflies to grab a player and fly toward the Nightmare Rift. Teammates must shoot down the butterflies in time; otherwise, falling into the rift will trigger a devastating explosion.				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	02A6B3214C42EEA04C251D9C69F4072B			0x60C46B62		The Wanshu Hammer releases three consecutive full-screen shockwaves. Before each release, it teleports to the edge of the arena, with each shockwave facing a different direction.				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	04BE995B457A2A4CD12712AE3F11B2F7			0x18727684		Desperate Fire Shield				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	056C325241AB569210AB33A98764329D			0xC3B12374		Ground-Burrowing Swordsman				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	06CEFFDA4B115A24BCE9BC853E1E3374			0xB910A1F6		The Sky-Slayer Spirit returns to the arena to charge and summon five rotating constellations, while also releasing three layers of expanding ring-shaped area damage. Players must dodge the continuous ground fire while shattering the constellation nodes.				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	0AB8EB9549D0899DF235998757D1829E			0x18B85DC0		Lord Botu				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	0CF26D014C499544A66F6A9CA6D999B3			0x63ED050C		Phantom Charge				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	0E38D8F04E691E22C677D5BEC4393EC9			0x7751D840		Phantom Nightmare				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	144DCF8C4FBD48E26DEFD1AFE14C8BCD			0x0BEBACA4		Sky-Slayer Spirit				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	148E40F743CA68148E3AC5926D5923C9			0x7251DFC3		Armor Rat King				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	155411B04E5A0C3F4B75A7B38DCB6B3F			0xA1FD0670		Damage from ground fire is significantly increased; even brief contact can be fatal.				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	15C2BB3142BDC57120E63091F6CF1B4D			0xB86F6793		The Brutal Tiger's shield durability increases significantly during its charge; the team must focus fire to break it.				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	180DC710407A8F14A8F72792471BBF3B			0x86CD7FCE		Brutal Tiger				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	186E6EE14A9F466CF23726A1F159C5CD			0x13A021A5		After charging, the Brutal Tiger immediately leaps to the center and slams the ground repeatedly, causing a screen-wide shockwave. Only by picking up the dropped Mechanism Shield can you block it; jumping or dodging will not help.				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	18A136BF4AC974DF88E4B389534FD25C			0x86CD7FCE		Brutal Tiger				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	1BC6CB304528C20DB2F6ABAB9C7E9B93			0x0BEBACA4		Sky-Slayer Spirit				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	1C5500E84A22A5A5552A3E868AE031CC			0xF4F8C265		Divine Pattern Scorching Fluff				translated				
added_only	/Game/Data/DataTables/Plateau/PlateauBuff/DT_MySteriousLandBuff	1C6EB0CC43A4EF5F336D37A61A7AF5EA			0xF2336FDA		The Halberd-Slayer Spirit's fire shield remains on the field. Four players must accurately identify and lure their respective clones into the shield while staying spread out to avoid overlapping paths.				translated				
